Epoch,Phase,Num Correct,Num Sample,Accuracy
1,train,628,1284,0.48909657320872274
1,valid,157,229,0.6855895196506551
1,overall,,,0.6855895196506551
2,train,830,1284,0.6464174454828661
2,valid,164,229,0.7161572052401747
2,overall,,,0.7161572052401747
3,train,1021,1284,0.7951713395638629
3,valid,178,229,0.777292576419214
3,overall,,,0.777292576419214
4,train,1117,1284,0.8699376947040498
4,valid,171,229,0.7467248908296943
4,overall,,,0.777292576419214
5,train,1129,1284,0.8792834890965732
5,valid,174,229,0.759825327510917
5,overall,,,0.777292576419214
6,train,1161,1284,0.9042056074766355
6,valid,172,229,0.7510917030567685
6,overall,,,0.777292576419214
7,train,1187,1284,0.9244548286604362
7,valid,172,229,0.7510917030567685
7,overall,,,0.777292576419214
8,train,1164,1284,0.9065420560747663
8,valid,163,229,0.7117903930131004
8,overall,,,0.777292576419214
9,train,1164,1284,0.9065420560747663
9,valid,173,229,0.7554585152838428
9,overall,,,0.777292576419214
10,train,1167,1284,0.9088785046728972
10,valid,176,229,0.7685589519650655
10,overall,,,0.777292576419214
11,train,1181,1284,0.9197819314641744
11,valid,164,229,0.7161572052401747
11,overall,,,0.777292576419214
12,train,1180,1284,0.9190031152647975
12,valid,174,229,0.759825327510917
12,overall,,,0.777292576419214
13,train,1179,1284,0.9182242990654206
13,valid,169,229,0.7379912663755459
13,overall,,,0.777292576419214
14,train,1141,1284,0.8886292834890965
14,valid,174,229,0.759825327510917
14,overall,,,0.777292576419214
15,train,1146,1284,0.8925233644859814
15,valid,170,229,0.74235807860262
15,overall,,,0.777292576419214
16,train,1145,1284,0.8917445482866043
16,valid,171,229,0.7467248908296943
16,overall,,,0.777292576419214
17,train,1137,1284,0.8855140186915887
17,valid,162,229,0.7074235807860262
17,overall,,,0.777292576419214
18,train,1178,1284,0.9174454828660437
18,valid,171,229,0.7467248908296943
18,overall,,,0.777292576419214
19,train,1140,1284,0.8878504672897196
19,valid,159,229,0.6943231441048034
19,overall,,,0.777292576419214
20,train,1159,1284,0.9026479750778816
20,valid,169,229,0.7379912663755459
20,overall,,,0.777292576419214
21,train,1163,1284,0.9057632398753894
21,valid,165,229,0.7205240174672489
21,overall,,,0.777292576419214
22,train,1135,1284,0.8839563862928349
22,valid,160,229,0.6986899563318777
22,overall,,,0.777292576419214
23,train,1158,1284,0.9018691588785047
23,valid,167,229,0.7292576419213974
23,overall,,,0.777292576419214
24,train,1152,1284,0.897196261682243
24,valid,160,229,0.6986899563318777
24,overall,,,0.777292576419214
25,train,1178,1284,0.9174454828660437
25,valid,166,229,0.7248908296943232
25,overall,,,0.777292576419214
26,train,1161,1284,0.9042056074766355
26,valid,162,229,0.7074235807860262
26,overall,,,0.777292576419214
27,train,1170,1284,0.9112149532710281
27,valid,161,229,0.7030567685589519
27,overall,,,0.777292576419214
28,train,1176,1284,0.9158878504672897
28,valid,160,229,0.6986899563318777
28,overall,,,0.777292576419214
29,train,1146,1284,0.8925233644859814
29,valid,171,229,0.7467248908296943
29,overall,,,0.777292576419214
30,train,1188,1284,0.9252336448598131
30,valid,168,229,0.7336244541484717
30,overall,,,0.777292576419214
31,train,1181,1284,0.9197819314641744
31,valid,156,229,0.6812227074235808
31,overall,,,0.777292576419214
32,train,1161,1284,0.9042056074766355
32,valid,170,229,0.74235807860262
32,overall,,,0.777292576419214
33,train,1189,1284,0.92601246105919
33,valid,166,229,0.7248908296943232
33,overall,,,0.777292576419214
34,train,1200,1284,0.9345794392523364
34,valid,159,229,0.6943231441048034
34,overall,,,0.777292576419214
35,train,1199,1284,0.9338006230529595
35,valid,160,229,0.6986899563318777
35,overall,,,0.777292576419214
36,train,1176,1284,0.9158878504672897
36,valid,152,229,0.6637554585152838
36,overall,,,0.777292576419214
37,train,1196,1284,0.9314641744548287
37,valid,158,229,0.6899563318777293
37,overall,,,0.777292576419214
38,train,1156,1284,0.9003115264797508
38,valid,167,229,0.7292576419213974
38,overall,,,0.777292576419214
39,train,1178,1284,0.9174454828660437
39,valid,165,229,0.7205240174672489
39,overall,,,0.777292576419214
40,train,1189,1284,0.92601246105919
40,valid,168,229,0.7336244541484717
40,overall,,,0.777292576419214
41,train,1199,1284,0.9338006230529595
41,valid,162,229,0.7074235807860262
41,overall,,,0.777292576419214
42,train,1214,1284,0.9454828660436138
42,valid,166,229,0.7248908296943232
42,overall,,,0.777292576419214
43,train,1205,1284,0.9384735202492211
43,valid,164,229,0.7161572052401747
43,overall,,,0.777292576419214
44,train,1207,1284,0.9400311526479751
44,valid,154,229,0.6724890829694323
44,overall,,,0.777292576419214
45,train,1207,1284,0.9400311526479751
45,valid,161,229,0.7030567685589519
45,overall,,,0.777292576419214
46,train,1219,1284,0.9493769470404985
46,valid,163,229,0.7117903930131004
46,overall,,,0.777292576419214
47,train,1204,1284,0.9376947040498442
47,valid,149,229,0.6506550218340611
47,overall,,,0.777292576419214
48,train,1211,1284,0.9431464174454829
48,valid,163,229,0.7117903930131004
48,overall,,,0.777292576419214
49,train,1193,1284,0.9291277258566978
49,valid,163,229,0.7117903930131004
49,overall,,,0.777292576419214
50,train,1209,1284,0.9415887850467289
50,valid,163,229,0.7117903930131004
50,overall,,,0.777292576419214
51,train,1213,1284,0.9447040498442367
