Epoch,Phase,Num Correct,Num Sample,Accuracy,Loss
1,train,735,1368,0.5372807017543859,"tensor(1.1285, device='cuda:0', grad_fn=<DivBackward0>)"
1,valid,293,456,0.6425438596491229,"tensor(1.1033, device='cuda:0')"
1,overall,,,0.6425438596491229
2,train,1016,1368,0.7426900584795322,"tensor(1.0929, device='cuda:0', grad_fn=<DivBackward0>)"
2,valid,292,456,0.6403508771929824,"tensor(1.1070, device='cuda:0')"
2,overall,,,0.6425438596491229
3,train,1174,1368,0.8581871345029239,"tensor(1.0761, device='cuda:0', grad_fn=<DivBackward0>)"
3,valid,291,456,0.6381578947368421,"tensor(1.1221, device='cuda:0')"
3,overall,,,0.6425438596491229
4,train,1261,1368,0.9217836257309941,"tensor(1.0667, device='cuda:0', grad_fn=<DivBackward0>)"
4,valid,277,456,0.6074561403508771,"tensor(1.1389, device='cuda:0')"
4,overall,,,0.6425438596491229
5,train,1279,1368,0.9349415204678363,"tensor(1.0653, device='cuda:0', grad_fn=<DivBackward0>)"
5,valid,279,456,0.6118421052631579,"tensor(1.1340, device='cuda:0')"
5,overall,,,0.6425438596491229
6,train,1306,1368,0.9546783625730995,"tensor(1.0599, device='cuda:0', grad_fn=<DivBackward0>)"
6,valid,311,456,0.6820175438596491,"tensor(1.1298, device='cuda:0')"
6,overall,,,0.6820175438596491
7,train,1307,1368,0.9554093567251462,"tensor(1.0595, device='cuda:0', grad_fn=<DivBackward0>)"
7,valid,288,456,0.631578947368421,"tensor(1.1557, device='cuda:0')"
7,overall,,,0.6820175438596491
8,train,1279,1368,0.9349415204678363,"tensor(1.0626, device='cuda:0', grad_fn=<DivBackward0>)"
8,valid,278,456,0.6096491228070176,"tensor(1.1638, device='cuda:0')"
8,overall,,,0.6820175438596491
9,train,1233,1368,0.9013157894736842,"tensor(1.0700, device='cuda:0', grad_fn=<DivBackward0>)"
9,valid,273,456,0.5986842105263158,"tensor(1.1546, device='cuda:0')"
9,overall,,,0.6820175438596491
10,train,1285,1368,0.939327485380117,"tensor(1.0616, device='cuda:0', grad_fn=<DivBackward0>)"
10,valid,280,456,0.6140350877192983,"tensor(1.1653, device='cuda:0')"
10,overall,,,0.6820175438596491
11,train,1267,1368,0.9261695906432749,"tensor(1.0662, device='cuda:0', grad_fn=<DivBackward0>)"
11,valid,282,456,0.618421052631579,"tensor(1.1825, device='cuda:0')"
11,overall,,,0.6820175438596491
12,train,1278,1368,0.9342105263157895,"tensor(1.0638, device='cuda:0', grad_fn=<DivBackward0>)"
12,valid,291,456,0.6381578947368421,"tensor(1.1846, device='cuda:0')"
12,overall,,,0.6820175438596491
13,train,1276,1368,0.9327485380116959,"tensor(1.0602, device='cuda:0', grad_fn=<DivBackward0>)"
13,valid,283,456,0.6206140350877193,"tensor(1.1840, device='cuda:0')"
13,overall,,,0.6820175438596491
14,train,1263,1368,0.9232456140350878,"tensor(1.0622, device='cuda:0', grad_fn=<DivBackward0>)"
14,valid,273,456,0.5986842105263158,"tensor(1.2068, device='cuda:0')"
14,overall,,,0.6820175438596491
15,train,1266,1368,0.9254385964912281,"tensor(1.0593, device='cuda:0', grad_fn=<DivBackward0>)"
15,valid,259,456,0.5679824561403509,"tensor(1.2353, device='cuda:0')"
15,overall,,,0.6820175438596491
16,train,1281,1368,0.9364035087719298,"tensor(1.0554, device='cuda:0', grad_fn=<DivBackward0>)"
16,valid,272,456,0.5964912280701754,"tensor(1.1904, device='cuda:0')"
16,overall,,,0.6820175438596491
17,train,1302,1368,0.9517543859649122,"tensor(1.0455, device='cuda:0', grad_fn=<DivBackward0>)"
17,valid,273,456,0.5986842105263158,"tensor(1.2493, device='cuda:0')"
17,overall,,,0.6820175438596491
18,train,1290,1368,0.9429824561403509,"tensor(1.0439, device='cuda:0', grad_fn=<DivBackward0>)"
18,valid,268,456,0.5877192982456141,"tensor(1.2365, device='cuda:0')"
18,overall,,,0.6820175438596491
