Epoch,Phase,Num Correct,Num Sample,Accuracy,Loss
1,train,500,1368,0.3654970760233918,"tensor(1.3842, device='cuda:0', grad_fn=<DivBackward0>)"
1,valid,122,456,0.2675438596491228,"tensor(1.3959, device='cuda:0')"
1,overall,,,0.2675438596491228
2,train,445,1368,0.3252923976608187,"tensor(1.3862, device='cuda:0', grad_fn=<DivBackward0>)"
2,valid,156,456,0.34210526315789475,"tensor(1.3674, device='cuda:0')"
2,overall,,,0.34210526315789475
3,train,516,1368,0.37719298245614036,"tensor(1.3839, device='cuda:0', grad_fn=<DivBackward0>)"
3,valid,157,456,0.3442982456140351,"tensor(1.3664, device='cuda:0')"
3,overall,,,0.3442982456140351
4,train,490,1368,0.358187134502924,"tensor(1.3910, device='cuda:0', grad_fn=<DivBackward0>)"
4,valid,225,456,0.4934210526315789,"tensor(1.3661, device='cuda:0')"
4,overall,,,0.4934210526315789
5,train,537,1368,0.3925438596491228,"tensor(1.3978, device='cuda:0', grad_fn=<DivBackward0>)"
5,valid,175,456,0.38377192982456143,"tensor(1.3983, device='cuda:0')"
5,overall,,,0.4934210526315789
6,train,559,1368,0.40862573099415206,"tensor(1.4050, device='cuda:0', grad_fn=<DivBackward0>)"
6,valid,77,456,0.16885964912280702,"tensor(1.4379, device='cuda:0')"
6,overall,,,0.4934210526315789
7,train,576,1368,0.42105263157894735,"tensor(1.4133, device='cuda:0', grad_fn=<DivBackward0>)"
7,valid,203,456,0.4451754385964912,"tensor(1.4034, device='cuda:0')"
7,overall,,,0.4934210526315789
8,train,651,1368,0.4758771929824561,"tensor(1.4179, device='cuda:0', grad_fn=<DivBackward0>)"
8,valid,98,456,0.2149122807017544,"tensor(1.4574, device='cuda:0')"
8,overall,,,0.4934210526315789
9,train,750,1368,0.5482456140350878,"tensor(1.4199, device='cuda:0', grad_fn=<DivBackward0>)"
9,valid,240,456,0.5263157894736842,"tensor(1.3957, device='cuda:0')"
9,overall,,,0.5263157894736842
10,train,799,1368,0.5840643274853801,"tensor(1.4126, device='cuda:0', grad_fn=<DivBackward0>)"
10,valid,256,456,0.5614035087719298,"tensor(1.4428, device='cuda:0')"
10,overall,,,0.5614035087719298
11,train,833,1368,0.6089181286549707,"tensor(1.4125, device='cuda:0', grad_fn=<DivBackward0>)"
11,valid,179,456,0.3925438596491228,"tensor(1.5651, device='cuda:0')"
11,overall,,,0.5614035087719298
12,train,870,1368,0.6359649122807017,"tensor(1.4154, device='cuda:0', grad_fn=<DivBackward0>)"
12,valid,160,456,0.3508771929824561,"tensor(1.4924, device='cuda:0')"
12,overall,,,0.5614035087719298
