Epoch,Phase,Num Correct,Num Sample,Accuracy,Loss
1,train,480,1368,0.3508771929824561,"tensor(0.8348, device='cuda:0', grad_fn=<DivBackward0>)"
1,valid,183,456,0.40131578947368424,"tensor(0.8006, device='cuda:0')"
1,overall,,,0.40131578947368424
2,train,460,1368,0.3362573099415205,"tensor(0.8313, device='cuda:0', grad_fn=<DivBackward0>)"
2,valid,175,456,0.38377192982456143,"tensor(0.8175, device='cuda:0')"
2,overall,,,0.40131578947368424
3,train,500,1368,0.3654970760233918,"tensor(0.8338, device='cuda:0', grad_fn=<DivBackward0>)"
3,valid,225,456,0.4934210526315789,"tensor(0.8250, device='cuda:0')"
3,overall,,,0.4934210526315789
4,train,501,1368,0.36622807017543857,"tensor(0.8401, device='cuda:0', grad_fn=<DivBackward0>)"
4,valid,192,456,0.42105263157894735,"tensor(0.8291, device='cuda:0')"
4,overall,,,0.4934210526315789
5,train,548,1368,0.40058479532163743,"tensor(0.8482, device='cuda:0', grad_fn=<DivBackward0>)"
5,valid,235,456,0.5153508771929824,"tensor(0.8372, device='cuda:0')"
5,overall,,,0.5153508771929824
6,train,563,1368,0.41154970760233917,"tensor(0.8561, device='cuda:0', grad_fn=<DivBackward0>)"
6,valid,178,456,0.39035087719298245,"tensor(0.8523, device='cuda:0')"
6,overall,,,0.5153508771929824
7,train,580,1368,0.4239766081871345,"tensor(0.8661, device='cuda:0', grad_fn=<DivBackward0>)"
7,valid,175,456,0.38377192982456143,"tensor(0.8600, device='cuda:0')"
7,overall,,,0.5153508771929824
8,train,657,1368,0.48026315789473684,"tensor(0.8741, device='cuda:0', grad_fn=<DivBackward0>)"
8,valid,239,456,0.5241228070175439,"tensor(0.8648, device='cuda:0')"
8,overall,,,0.5241228070175439
9,train,658,1368,0.48099415204678364,"tensor(0.8862, device='cuda:0', grad_fn=<DivBackward0>)"
9,valid,223,456,0.48903508771929827,"tensor(0.8860, device='cuda:0')"
9,overall,,,0.5241228070175439
10,train,687,1368,0.5021929824561403,"tensor(0.8962, device='cuda:0', grad_fn=<DivBackward0>)"
10,valid,239,456,0.5241228070175439,"tensor(0.8953, device='cuda:0')"
10,overall,,,0.5241228070175439
11,train,686,1368,0.5014619883040936,"tensor(0.9058, device='cuda:0', grad_fn=<DivBackward0>)"
11,valid,244,456,0.5350877192982456,"tensor(0.9016, device='cuda:0')"
11,overall,,,0.5350877192982456
12,train,701,1368,0.5124269005847953,"tensor(0.9162, device='cuda:0', grad_fn=<DivBackward0>)"
12,valid,248,456,0.543859649122807,"tensor(0.9117, device='cuda:0')"
12,overall,,,0.543859649122807
13,train,712,1368,0.52046783625731,"tensor(0.9261, device='cuda:0', grad_fn=<DivBackward0>)"
13,valid,244,456,0.5350877192982456,"tensor(0.9270, device='cuda:0')"
13,overall,,,0.543859649122807
