Epoch,Phase,Num Correct,Num Sample,Accuracy,Loss
1,train,477,1368,0.34868421052631576,"tensor(0.3933, device='cuda:0', grad_fn=<DivBackward0>)"
1,valid,93,456,0.20394736842105263,"tensor(0.3799, device='cuda:0')"
1,overall,,,0.20394736842105263
2,train,454,1368,0.33187134502923976,"tensor(0.3910, device='cuda:0', grad_fn=<DivBackward0>)"
2,valid,151,456,0.33114035087719296,"tensor(0.3741, device='cuda:0')"
2,overall,,,0.33114035087719296
3,train,489,1368,0.3574561403508772,"tensor(0.3950, device='cuda:0', grad_fn=<DivBackward0>)"
3,valid,127,456,0.27850877192982454,"tensor(0.3843, device='cuda:0')"
3,overall,,,0.33114035087719296
4,train,493,1368,0.3603801169590643,"tensor(0.4008, device='cuda:0', grad_fn=<DivBackward0>)"
4,valid,166,456,0.36403508771929827,"tensor(0.3870, device='cuda:0')"
4,overall,,,0.36403508771929827
5,train,521,1368,0.38084795321637427,"tensor(0.4096, device='cuda:0', grad_fn=<DivBackward0>)"
5,valid,153,456,0.3355263157894737,"tensor(0.3963, device='cuda:0')"
5,overall,,,0.36403508771929827
6,train,542,1368,0.3961988304093567,"tensor(0.4176, device='cuda:0', grad_fn=<DivBackward0>)"
6,valid,124,456,0.2719298245614035,"tensor(0.4097, device='cuda:0')"
6,overall,,,0.36403508771929827
7,train,493,1368,0.3603801169590643,"tensor(0.4289, device='cuda:0', grad_fn=<DivBackward0>)"
7,valid,241,456,0.5285087719298246,"tensor(0.4231, device='cuda:0')"
7,overall,,,0.5285087719298246
8,train,515,1368,0.37646198830409355,"tensor(0.4369, device='cuda:0', grad_fn=<DivBackward0>)"
8,valid,175,456,0.38377192982456143,"tensor(0.4231, device='cuda:0')"
8,overall,,,0.5285087719298246
9,train,505,1368,0.36915204678362573,"tensor(0.4492, device='cuda:0', grad_fn=<DivBackward0>)"
9,valid,138,456,0.3026315789473684,"tensor(0.4323, device='cuda:0')"
9,overall,,,0.5285087719298246
10,train,482,1368,0.35233918128654973,"tensor(0.4596, device='cuda:0', grad_fn=<DivBackward0>)"
10,valid,195,456,0.4276315789473684,"tensor(0.4435, device='cuda:0')"
10,overall,,,0.5285087719298246
11,train,527,1368,0.385233918128655,"tensor(0.4683, device='cuda:0', grad_fn=<DivBackward0>)"
11,valid,222,456,0.4868421052631579,"tensor(0.4540, device='cuda:0')"
11,overall,,,0.5285087719298246
12,train,514,1368,0.3757309941520468,"tensor(0.4784, device='cuda:0', grad_fn=<DivBackward0>)"
12,valid,235,456,0.5153508771929824,"tensor(0.4625, device='cuda:0')"
12,overall,,,0.5285087719298246
13,train,507,1368,0.3706140350877193,"tensor(0.4894, device='cuda:0', grad_fn=<DivBackward0>)"
13,valid,240,456,0.5263157894736842,"tensor(0.4757, device='cuda:0')"
13,overall,,,0.5285087719298246
14,train,558,1368,0.40789473684210525,"tensor(0.4987, device='cuda:0', grad_fn=<DivBackward0>)"
14,valid,158,456,0.34649122807017546,"tensor(0.4808, device='cuda:0')"
14,overall,,,0.5285087719298246
15,train,544,1368,0.39766081871345027,"tensor(0.5090, device='cuda:0', grad_fn=<DivBackward0>)"
15,valid,245,456,0.5372807017543859,"tensor(0.4959, device='cuda:0')"
15,overall,,,0.5372807017543859
16,train,558,1368,0.40789473684210525,"tensor(0.5192, device='cuda:0', grad_fn=<DivBackward0>)"
16,valid,96,456,0.21052631578947367,"tensor(0.5159, device='cuda:0')"
16,overall,,,0.5372807017543859
17,train,553,1368,0.40423976608187134,"tensor(0.5287, device='cuda:0', grad_fn=<DivBackward0>)"
17,valid,114,456,0.25,"tensor(0.5149, device='cuda:0')"
17,overall,,,0.5372807017543859
18,train,587,1368,0.42909356725146197,"tensor(0.5379, device='cuda:0', grad_fn=<DivBackward0>)"
18,valid,229,456,0.5021929824561403,"tensor(0.5240, device='cuda:0')"
18,overall,,,0.5372807017543859
19,train,599,1368,0.4378654970760234,"tensor(0.5486, device='cuda:0', grad_fn=<DivBackward0>)"
19,valid,90,456,0.19736842105263158,"tensor(0.5276, device='cuda:0')"
19,overall,,,0.5372807017543859
20,train,573,1368,0.41885964912280704,"tensor(0.5582, device='cuda:0', grad_fn=<DivBackward0>)"
20,valid,241,456,0.5285087719298246,"tensor(0.5414, device='cuda:0')"
20,overall,,,0.5372807017543859
21,train,620,1368,0.45321637426900585,"tensor(0.5540, device='cuda:0', grad_fn=<DivBackward0>)"
21,valid,241,456,0.5285087719298246,"tensor(0.5365, device='cuda:0')"
21,overall,,,0.5372807017543859
22,train,612,1368,0.4473684210526316,"tensor(0.5532, device='cuda:0', grad_fn=<DivBackward0>)"
22,valid,247,456,0.5416666666666666,"tensor(0.5395, device='cuda:0')"
22,overall,,,0.5416666666666666
23,train,629,1368,0.4597953216374269,"tensor(0.5514, device='cuda:0', grad_fn=<DivBackward0>)"
23,valid,93,456,0.20394736842105263,"tensor(0.5344, device='cuda:0')"
23,overall,,,0.5416666666666666
24,train,606,1368,0.44298245614035087,"tensor(0.5511, device='cuda:0', grad_fn=<DivBackward0>)"
24,valid,199,456,0.43640350877192985,"tensor(0.5369, device='cuda:0')"
24,overall,,,0.5416666666666666
25,train,677,1368,0.49488304093567254,"tensor(0.5487, device='cuda:0', grad_fn=<DivBackward0>)"
25,valid,248,456,0.543859649122807,"tensor(0.5420, device='cuda:0')"
25,overall,,,0.543859649122807
26,train,685,1368,0.5007309941520468,"tensor(0.5472, device='cuda:0', grad_fn=<DivBackward0>)"
26,valid,247,456,0.5416666666666666,"tensor(0.5387, device='cuda:0')"
26,overall,,,0.543859649122807
27,train,648,1368,0.47368421052631576,"tensor(0.5461, device='cuda:0', grad_fn=<DivBackward0>)"
27,valid,247,456,0.5416666666666666,"tensor(0.5516, device='cuda:0')"
27,overall,,,0.543859649122807
28,train,628,1368,0.4590643274853801,"tensor(0.5449, device='cuda:0', grad_fn=<DivBackward0>)"
28,valid,195,456,0.4276315789473684,"tensor(0.5305, device='cuda:0')"
28,overall,,,0.543859649122807
29,train,624,1368,0.45614035087719296,"tensor(0.5451, device='cuda:0', grad_fn=<DivBackward0>)"
29,valid,238,456,0.5219298245614035,"tensor(0.5252, device='cuda:0')"
29,overall,,,0.543859649122807
30,train,681,1368,0.49780701754385964,"tensor(0.5419, device='cuda:0', grad_fn=<DivBackward0>)"
30,valid,237,456,0.5197368421052632,"tensor(0.5289, device='cuda:0')"
